"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.032486240E-1,1.525878906E-5,-3.128051758E-3,-1.831054688E-3,3.624596791E-3
9.072159090E-1,1.083374023E-3,-4.196166992E-3,-7.781982422E-4,4.403079514E-3
9.111831940E-1,-3.173828125E-3,-5.264282227E-3,-7.781982422E-4,6.196083023E-3
9.151504790E-1,1.083374023E-3,-4.196166992E-3,1.358032227E-3,4.541560110E-3
9.191177640E-1,-1.052856445E-3,-2.075195312E-3,2.899169922E-4,2.344993420E-3
9.230850490E-1,1.525878906E-5,-2.075195312E-3,1.358032227E-3,2.480104825E-3
9.270828520E-1,1.083374023E-3,6.103515625E-5,1.358032227E-3,1.738296894E-3
9.310501370E-1,1.083374023E-3,-1.007080078E-3,1.358032227E-3,2.008024175E-3
9.350174220E-1,1.525878906E-5,6.103515625E-5,1.358032227E-3,1.359488746E-3
9.389847080E-1,-2.120971680E-3,6.103515625E-5,4.547119141E-3,5.017822101E-3
9.429519930E-1,1.083374023E-3,2.197265625E-3,3.494262695E-3,4.267498950E-3
9.469192780E-1,1.083374023E-3,1.129150391E-3,1.358032227E-3,2.071939045E-3
9.508865630E-1,1.083374023E-3,1.129150391E-3,2.899169922E-4,1.591455856E-3
9.548843660E-1,1.083374023E-3,4.318237305E-3,2.426147461E-3,5.070213427E-3
9.588516510E-1,1.083374023E-3,1.129150391E-3,1.358032227E-3,2.071939045E-3
9.628189360E-1,1.525878906E-5,2.197265625E-3,2.426147461E-3,3.273285896E-3
9.667862210E-1,1.525878906E-5,1.129150391E-3,2.899169922E-4,1.165875335E-3
9.707535060E-1,1.083374023E-3,1.129150391E-3,2.899169922E-4,1.591455856E-3
9.747207920E-1,1.083374023E-3,1.129150391E-3,2.899169922E-4,1.591455856E-3
9.786880770E-1,-2.120971680E-3,1.129150391E-3,2.899169922E-4,2.420238280E-3
9.826553620E-1,-1.052856445E-3,2.197265625E-3,2.899169922E-4,2.453677808E-3
9.866531650E-1,-2.120971680E-3,2.197265625E-3,-7.781982422E-4,3.151521791E-3
9.906204500E-1,-2.120971680E-3,1.129150391E-3,2.899169922E-4,2.420238280E-3
9.945877350E-1,1.525878906E-5,1.129150391E-3,2.899169922E-4,1.165875335E-3
9.985550200E-1,1.525878906E-5,6.103515625E-5,-2.899169922E-3,2.899852472E-3
1.002522305E0,-1.052856445E-3,1.129150391E-3,-2.899169922E-3,3.284611626E-3
1.006489590E0,1.525878906E-5,6.103515625E-5,-7.781982422E-4,7.807372318E-4
1.010456876E0,-1.052856445E-3,-1.007080078E-3,-2.899169922E-3,3.244673052E-3
1.014454678E0,1.083374023E-3,-2.075195312E-3,-1.831054688E-3,2.972018864E-3
1.018421963E0,1.083374023E-3,-2.075195312E-3,-1.831054688E-3,2.972018864E-3
1.022389249E0,2.151489258E-3,-2.075195312E-3,-2.899169922E-3,4.164195942E-3
1.026356534E0,1.525878906E-5,-1.007080078E-3,-7.781982422E-4,1.272806198E-3
1.030323819E0,-1.052856445E-3,-1.007080078E-3,-7.781982422E-4,1.651759511E-3
1.034291104E0,-1.052856445E-3,-1.007080078E-3,2.899169922E-4,1.485519721E-3
1.038258389E0,-1.052856445E-3,-1.007080078E-3,-7.781982422E-4,1.651759511E-3
1.042225674E0,1.525878906E-5,-1.007080078E-3,-7.781982422E-4,1.272806198E-3
1.046223477E0,2.151489258E-3,-2.075195312E-3,2.426147461E-3,3.849874428E-3
1.050190762E0,2.151489258E-3,-2.075195312E-3,2.899169922E-4,3.003230506E-3
1.054158047E0,1.525878906E-5,-1.007080078E-3,1.358032227E-3,1.690767472E-3
1.058125333E0,-2.120971680E-3,-2.075195312E-3,-7.781982422E-4,3.067661806E-3
1.062092618E0,1.525878906E-5,-1.007080078E-3,1.358032227E-3,1.690767472E-3
1.066059903E0,2.151489258E-3,-2.075195312E-3,2.426147461E-3,3.849874428E-3
1.070027188E0,1.525878906E-5,6.103515625E-5,3.494262695E-3,3.494829024E-3
1.073994473E0,2.151489258E-3,-2.075195312E-3,1.358032227E-3,3.283229072E-3
1.077992276E0,-2.120971680E-3,1.129150391E-3,2.426147461E-3,3.414629258E-3
1.081959561E0,-1.052856445E-3,1.129150391E-3,1.358032227E-3,2.056146597E-3
1.085926846E0,-1.052856445E-3,6.103515625E-5,-7.781982422E-4,1.310658037E-3
1.089894131E0,1.083374023E-3,-1.007080078E-3,-7.781982422E-4,1.671377295E-3
1.093861417E0,1.525878906E-5,-1.007080078E-3,2.899169922E-4,1.048091111E-3
1.097828702E0,1.525878906E-5,6.103515625E-5,2.899169922E-4,2.966647659E-4
1.101795987E0,1.525878906E-5,3.250122070E-3,2.899169922E-4,3.263062697E-3
1.105793790E0,1.083374023E-3,6.103515625E-5,-7.781982422E-4,1.335296622E-3
1.109761075E0,1.525878906E-5,1.129150391E-3,-7.781982422E-4,1.371424784E-3
1.113758878E0,1.083374023E-3,6.103515625E-5,2.899169922E-4,1.123154676E-3
1.117695645E0,2.151489258E-3,6.103515625E-5,-1.831054688E-3,2.825843694E-3
1.121662930E0,1.083374023E-3,-1.007080078E-3,-1.831054688E-3,2.353862958E-3
1.125630215E0,-1.052856445E-3,6.103515625E-5,-7.781982422E-4,1.310658037E-3
1.129597501E0,1.525878906E-5,1.129150391E-3,-7.781982422E-4,1.371424784E-3
1.133595303E0,1.083374023E-3,-1.007080078E-3,-1.831054688E-3,2.353862958E-3
1.137562588E0,1.083374023E-3,6.103515625E-5,-7.781982422E-4,1.335296622E-3
1.141529874E0,1.525878906E-5,1.129150391E-3,-7.781982422E-4,1.371424784E-3
1.145497159E0,1.083374023E-3,-1.007080078E-3,2.899169922E-4,1.507302697E-3
1.149464444E0,1.083374023E-3,6.103515625E-5,-7.781982422E-4,1.335296622E-3
1.153431729E0,2.151489258E-3,-1.007080078E-3,-7.781982422E-4,2.499741750E-3
1.157399014E0,1.525878906E-5,6.103515625E-5,1.358032227E-3,1.359488746E-3
1.161396817E0,1.525878906E-5,-1.007080078E-3,1.358032227E-3,1.690767472E-3
1.165364102E0,-1.052856445E-3,-1.007080078E-3,-7.781982422E-4,1.651759511E-3
1.169331387E0,1.083374023E-3,-1.007080078E-3,2.426147461E-3,2.841496271E-3
1.173298672E0,3.204345703E-3,-4.196166992E-3,2.899169922E-4,5.287693323E-3
1.177265958E0,1.525878906E-5,-2.075195312E-3,2.899169922E-4,2.095404562E-3
1.181233243E0,1.525878906E-5,6.103515625E-5,2.899169922E-4,2.966647659E-4
